app,id,title,comment,rating,reviewer,fee,date,version,data source
Dropbox,3282354146,Sharing,The last update stated when sharing a document it DB will send the file and a link. IT DOES NOT SEND THE FILE. Just a link as usual.,2,frankster222,free,NA,NA,npm app-store-scraper
Dropbox,3286679419,WORST APP I HAVE EVER SEEN!!!!!!!!!,DO NOT EVER GET THIS APP!!! I  WAS JUST TRING TO WATCH A VIDEO SOMEONE SENT ME AND ALL IT DID WAS MAKE ME PAY!!!!!!!!,1,chfhghufhfucucbc,free,NA,NA,npm app-store-scraper
Dropbox,3200269799,READ!!!!!!,It’s a great app and lets me save allot of things but it would even be more helpful if you guys could add a feature where we can customize the photos of each file. Just to give it a extra touch. Just saying small details matter!!,5,Just a guy with a thought :),free,NA,NA,npm app-store-scraper
Dropbox,2395607384,DropBox API,"Dropbox API app console to increase your apps user limit. 
Would like to Link my app to a Could Music Box but can Not",3,sueannrobinson,free,NA,NA,npm app-store-scraper
Dropbox,3255086673,Becoming less useful,"The app increasingly fails to preview some ascii text files, .jpg and PDF documents. As I use the app to show projects to team members, this is becoming a major headache.",2,ChurchOrganist,free,NA,NA,npm app-store-scraper
Dropbox,2842556532,102.2 Version. Closed Automatically,"Update does not work! It will close automatically.
Erase the App and reinstall.... does not work!",3,Mfridzon,free,NA,NA,npm app-store-scraper
Dropbox,3298746030,Troubles,"So I’ve used Dropbox for a year or two. Been a great app. Unfortunately the last two weeks maybe less I’ve had issues with media. If I have an MP3 file, I can’t listen to it. Or I’ll have to reset the app multiple times to even play it. The app crashes a lot. As of now it’s barely usable. I hope the Devs see this and look into it. It’s not my device or connection as all of my files are offline compatible. Hopefully they fix it so I can bump it back up to a 5 star. Love Dropbox",1,MafiaAlex,free,NA,NA,npm app-store-scraper
Dropbox,3229571646,Still forces you to create links when sharing.,"Latest update sends the actual file when exporting(thank you!) but still insists on creating a link to the file and putting that URL in the export too.

Seems very sloppy to have all of these links created when you simply want to attach a file to an email, for example. Feels like a security weakness for Dropbox.

I get that you want to share the Dropbox.com link for brand and lock-in reasons but sometimes this isn’t the best option.",2,JasonTM1,free,NA,NA,npm app-store-scraper
Dropbox,3250601456,Long Time User Now Very Upset,I have the most updated version of the app. I just spent hours (yes HOURS) scanning documents for work and the app just crashed while saving. Everything I scanned is gone. I’ll be starting over with Google Drive. This is unacceptable.,1,kolgreat,free,NA,NA,npm app-store-scraper
Dropbox,2458995951,Refund,I did not want to be charged for the service and the app did not specify how and when I need to delete/cancel my service,2,Bb. iight,free,NA,NA,npm app-store-scraper
Dropbox,3282354146,Sharing,The last update stated when sharing a document it DB will send the file and a link. IT DOES NOT SEND THE FILE. Just a link as usual.,2,frankster222,free,NA,NA,npm app-store-scraper
Dropbox,2309927531,Google sign In,Every time I sign out with google and sign in it signs me into my same account I’m trying to aim into a different one but won’t let me,1,Hjbkkv,free,NA,NA,npm app-store-scraper
Dropbox,2992389151,Background upload,"The whole point of camera upload in the background is to not have to constantly open the app and get it to start uploading. Extremely annoying, having to remember to open the app just to upload my recent photos",1,Asydia,free,NA,NA,npm app-store-scraper
Dropbox,2844187259,Limit,Your limit on the amount of media being stored for free is not good at all,5,CmasterY,free,NA,NA,npm app-store-scraper
Dropbox,3268500537,"Great app, need to clear cache","I use Dropbox almost daily, but without a way to clear the cache, it constantly chews up my storage on my iphone. There needs to be a way to clear the cache without uninstalling and reinstalling and signing back in. 

This needs to be the primary focus of app developers.",4,CaptMikey73,free,NA,NA,npm app-store-scraper
Dropbox,3310574140,Wow!,"Awesome app, love it!",5,odog1,free,NA,NA,npm app-store-scraper
Dropbox,2392916768,Okay app,Mine also tends to show many missing dates and also doesn’t delete photos properly the first time!,3,Gilfromtx,free,NA,NA,npm app-store-scraper
